narwhal_id	time_start	time_end	duration	dive_phase	meets_criteria	notes
asgeir	2018-08-24 10:22:00.7	2018-08-24 10:22:21.7	0:00:21	subsurface	N	
asgeir	2018-08-24 10:32:32.9	2018-08-24 10:32:39.3	0:00:06	ascent	N	
asgeir	2018-08-24 12:26:22.5	2018-08-24 12:26:30.0	0:00:08	descent	N	
asgeir	2018-08-24 12:26:31.9	2018-08-24 12:26:40.5	0:00:09	descent	N	
asgeir	2018-08-24 12:30:46.6	2018-08-24 12:31:07.6	0:00:21	bottom	N	
asgeir	2018-08-24 13:29:27.3	2018-08-24 13:29:34.6	0:00:07	descent	N	
asgeir	2018-08-24 13:37:21.6	2018-08-24 13:37:36.7	0:00:15	bottom	Y	
asgeir	2018-08-24 13:40:21.2	2018-08-24 13:40:29.7	0:00:09	bottom	Y	
asgeir	2018-08-24 13:40:41.7	2018-08-24 13:41:05.7	0:00:24	bottom	Y	
asgeir	2018-08-24 13:43:51.8	2018-08-24 13:44:25.8	0:00:34	bottom	Y	
asgeir	2018-08-24 13:44:50.2	2018-08-24 13:45:13.7	0:00:24	ascent	N	
asgeir	2018-08-24 13:56:10.3	2018-08-24 13:56:19.0	0:00:09	descent	N	
asgeir	2018-08-24 13:56:30.1	2018-08-24 13:56:39.5	0:00:09	descent	N	
asgeir	2018-08-24 13:56:48.8	2018-08-24 13:57:01.5	0:00:13	descent	N	
asgeir	2018-08-24 13:57:04.9	2018-08-24 13:57:16.3	0:00:11	bottom	N	
asgeir	2018-08-24 14:04:27.0	2018-08-24 14:04:34.5	0:00:08	bottom	N	
asgeir	2018-08-24 14:07:49.1	2018-08-24 14:08:21.6	0:00:33	ascent	N	
asgeir	2018-08-24 14:08:57.8	2018-08-24 14:09:20.7	0:00:23	ascent	N	
asgeir	2018-08-24 14:19:15.3	2018-08-24 14:19:23.5	0:00:08	bottom	N	
asgeir	2018-08-24 14:37:24.5	2018-08-24 14:37:32.6	0:00:08	descent	N	
asgeir	2018-08-24 14:38:01.7	2018-08-24 14:38:11.6	0:00:10	bottom	N	
asgeir	2018-08-24 14:38:53.3	2018-08-24 14:39:01.6	0:00:08	bottom	N	
asgeir	2018-08-24 14:41:43.1	2018-08-24 14:41:51.4	0:00:08	bottom	N	
asgeir	2018-08-24 14:44:39.3	2018-08-24 14:44:46.3	0:00:07	bottom	N	
asgeir	2018-08-24 14:58:25.7	2018-08-24 14:59:40.3	0:01:15	bottom	Y	
asgeir	2018-08-24 15:11:33.9	2018-08-24 15:11:48.9	0:00:15	descent	N	
asgeir	2018-08-24 15:12:05.4	2018-08-24 15:12:13.9	0:00:09	bottom	N	
asgeir	2018-08-24 15:16:11.3	2018-08-24 15:16:18.9	0:00:08	bottom	N	
asgeir	2018-08-24 15:49:00.1	2018-08-24 15:49:10.6	0:00:11	bottom	N	
asgeir	2018-08-24 15:50:08.5	2018-08-24 15:50:17.7	0:00:09	bottom	N	
